"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: bufferSize","Param: charset","Param: sizeInMb"
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"31,258880","0,168461","s/op",1048576,US-ASCII,1000
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"0,600490","0,029325","s/op",4194304,UTF-8,10
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"3,734368","0,065300","s/op",4194304,UTF-8,100
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"18,081246","0,475441","s/op",4194304,UTF-8,500
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"37,812856","0,325256","s/op",4194304,UTF-8,1000
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"0,476733","0,012380","s/op",4194304,ISO-8859-1,10
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"3,184103","0,055316","s/op",4194304,ISO-8859-1,100
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"14,705099","0,230254","s/op",4194304,ISO-8859-1,500
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"29,255012","0,298189","s/op",4194304,ISO-8859-1,1000
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"0,496578","0,026929","s/op",4194304,US-ASCII,10
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"3,231103","0,021857","s/op",4194304,US-ASCII,100
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"15,716566","0,148210","s/op",4194304,US-ASCII,500
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"31,605174","1,067531","s/op",4194304,US-ASCII,1000
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"0,869835","0,048153","s/op",16777216,UTF-8,10
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"4,053136","0,050829","s/op",16777216,UTF-8,100
